Task ID,Task Name,Task Content,Status,Priority,Tags,Parent ID,Time Estimated,Branch
PERF-00A,Tier 0: Request instrumentation baseline,"BRANCH: perf/00-instrumentation-baseline
TIER: Tier 0 - Measurement

MERGED (PR #39). Per-build API request counters bucketed by endpoint family. Everything downstream is validated against the numbers this produces.

FILES
backend/perfstats.py (new), backend/cloudsmith.py, backend/main.py

ACCEPTANCE CRITERIA
One PERF log record per build; zero behaviour change; baseline captured for small/medium/large repos.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/00-instrumentation-baseline",complete,1,"performance,Tier 0 - Measurement",,6,perf/00-instrumentation-baseline
PERF-00A-01,Add perfstats module with thread-safe bucketed counters,"Commit on perf/00-instrumentation-baseline

Parent: Tier 0: Request instrumentation baseline",complete,1,"performance,commit",PERF-00A,,perf/00-instrumentation-baseline
PERF-00A-02,"Record call timing, statuses, 429 throttling and rate-limit headers","Commit on perf/00-instrumentation-baseline

Parent: Tier 0: Request instrumentation baseline",complete,1,"performance,commit",PERF-00A,,perf/00-instrumentation-baseline
PERF-00A-03,Track which package formats return dependency data,"Commit on perf/00-instrumentation-baseline

Parent: Tier 0: Request instrumentation baseline",complete,1,"performance,commit",PERF-00A,,perf/00-instrumentation-baseline
PERF-00A-04,Expose stats via forgely.perf logger and /api/graph?debug=1,"Commit on perf/00-instrumentation-baseline

Parent: Tier 0: Request instrumentation baseline",complete,1,"performance,commit",PERF-00A,,perf/00-instrumentation-baseline
PERF-00A-05,Capture baseline for small / medium / large repos,"Commit on perf/00-instrumentation-baseline

Parent: Tier 0: Request instrumentation baseline",complete,1,"performance,commit",PERF-00A,,perf/00-instrumentation-baseline
PERF-00B,Tier 0: Scan-status histogram (sizes perf/01),"BRANCH: perf/00-scan-status-histogram
TIER: Tier 0 - Measurement

MERGED (PR #40). Adds a security_scan_status histogram so perf/01 can be sized from data rather than assumption. RESULT: 74.8% of packages on the language repository are 'Security Scanning Not Supported' (5,603 of 7,490) - perf/01 is worth 27% of total network time.

FILES
backend/perfstats.py, backend/main.py

ACCEPTANCE CRITERIA
Histogram totals match the packages that receive a scan call; snapshot() must not deadlock (RLock regression test); no behaviour change.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/00-scan-status-histogram",complete,1,"performance,Tier 0 - Measurement",,3,perf/00-scan-status-histogram
PERF-00B-01,Add scan_statuses counter and record_scan_status(),"Commit on perf/00-scan-status-histogram

Parent: Tier 0: Scan-status histogram (sizes perf/01)",complete,1,"performance,commit",PERF-00B,,perf/00-scan-status-histogram
PERF-00B-02,Add scan_status_breakdown() classifying exactly as perf/01 will,"Commit on perf/00-scan-status-histogram

Parent: Tier 0: Scan-status histogram (sizes perf/01)",complete,1,"performance,commit",PERF-00B,,perf/00-scan-status-histogram
PERF-00B-03,Switch Lock -> RLock (snapshot() re-enters via breakdown),"Commit on perf/00-scan-status-histogram

Parent: Tier 0: Scan-status histogram (sizes perf/01)",complete,1,"performance,commit",PERF-00B,,perf/00-scan-status-histogram
PERF-00B-04,Render scanstatus block with perf/01 projection in report,"Commit on perf/00-scan-status-histogram

Parent: Tier 0: Scan-status histogram (sizes perf/01)",complete,1,"performance,commit",PERF-00B,,perf/00-scan-status-histogram
PERF-00B-05,Wire call sites in _build_graph and _fetch_repo_vuln_summary,"Commit on perf/00-scan-status-histogram

Parent: Tier 0: Scan-status histogram (sizes perf/01)",complete,1,"performance,commit",PERF-00B,,perf/00-scan-status-histogram
PERF-00B-06,"Commit, push, open PR","Commit on perf/00-scan-status-histogram

Parent: Tier 0: Scan-status histogram (sizes perf/01)",complete,1,"performance,commit",PERF-00B,,perf/00-scan-status-histogram
PERF-11,"Canvas render quick wins (2 lines, zero risk)","BRANCH: perf/11-canvas-render-quick-wins
TIER: Tier 3 - Frontend

Two-line change, no behavioural risk. WorkspaceOverviewCanvas is the only canvas missing barnesHutOptimize, making it O(N^2) per iteration across up to 600 iterations where the others are O(N log N). Merge this first - it needs no measurement to justify.

FILES
frontend/src/components/WorkspaceOverviewCanvas.tsx, frontend/src/components/GraphCanvas.tsx

ACCEPTANCE CRITERIA
No visual regression; pan/zoom smooth on clique-heavy graphs.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/11-canvas-render-quick-wins",to do,2,"performance,Tier 3 - Frontend",,1,perf/11-canvas-render-quick-wins
PERF-11-01,Add barnesHutOptimize:true to WorkspaceOverviewCanvas FA2 settings,"Commit on perf/11-canvas-render-quick-wins

Parent: Canvas render quick wins (2 lines, zero risk)",to do,2,"performance,commit",PERF-11,,perf/11-canvas-render-quick-wins
